excel_muni,excel_puesto,db_puesto_id,db_puesto_name,db_municipio_id,creemos,sn,mesas_historicas,confidence,method,status
SAN JERONIMO,SD RAFAEL J MEJIA IE BENIGNO MENA,1009,SD RAFAEL J MEJIA IE BENIGNO MENA,50,1,1,1,100,exact,ok
SAN JOSE DE LA MONTAÑA,IE FRANCISCO ABEL GALLEGO - SECCION C,1010,IE FRANCISCO ABEL GALLEGO - SECCION C,97,25,16,10,100,exact,ok
SAN JUAN DE URABA,IE SAN JUAN DE URABA,1011,IE SAN JUAN DE URABA,110,43,30,26,100,exact,ok
SAN JUAN DE URABA,I.E.R BELEN,1012,I.E.R BELEN,110,1,3,2,100,exact,ok
SAN JUAN DE URABA,I.E.R MONSEÑOR ESCOBAR VELEZ,1013,I.E.R MONSEÑOR ESCOBAR VELEZ,110,13,1,5,100,exact,ok
SAN JUAN DE URABA,E.R. LA BALSITA,1014,E.R. LA BALSITA,110,5,0,2,100,exact,ok
SAN JUAN DE URABA,C.E.R SAN JUANCITO,1016,C.E.R SAN JUANCITO,110,3,0,2,100,exact,ok
SAN JUAN DE URABA,C.E.R SAN NICOLAS DEL RIO,1017,C.E.R SAN NICOLAS DEL RIO,110,8,4,4,100,exact,ok
SAN JUAN DE URABA,I.E.R UVEROS,1019,I.E.R UVEROS,110,14,3,5,100,exact,ok
SAN LUIS,SEDE JUAN JOSE HOYOS,1020,SEDE JUAN JOSE HOYOS,29,141,66,28,100,exact,ok
SAN LUIS,C.E.R. BUENOS AIRES,1021,C.E.R. BUENOS AIRES,29,3,0,1,100,exact,ok
SAN LUIS,COLISEO EL PRODIGIO,1022,COLISEO EL PRODIGIO,29,30,1,2,100,exact,ok
SAN LUIS,C.E.R. EL SILENCIO,1023,C.E.R. EL SILENCIO,29,7,2,1,100,exact,ok
SAN LUIS,C.E.R. LA JOSEFINA,1024,C.E.R. LA JOSEFINA,29,9,6,4,100,exact,ok
SAN LUIS,C.E.R. LA TEBAIDA,1025,C.E.R. LA TEBAIDA,29,5,4,1,100,exact,ok
SAN LUIS,C.E.R. RIOCLARO,1026,C.E.R. RIOCLARO,29,7,2,1,100,exact,ok
SAN LUIS,C.E.R. SAN PABLO,1027,C.E.R. SAN PABLO,29,2,0,1,100,exact,ok
SAN PEDRO,I E PIO XII,1028,I E PIO XII,98,99,53,16,100,exact,ok
SAN PEDRO,SD LA GABRIELA I E PIO XII,1029,SD LA GABRIELA I E PIO XII,98,114,43,14,100,exact,ok
SAN PEDRO,COLISEO TIPO B,1030,COLISEO TIPO B,98,153,55,17,100,exact,ok
SAN PEDRO,CTRO DE INTEGRAC. CIUDAD. LOS ENCENILLOS,1031,"CTRO DE INTEGRAC. CIUDAD. LOS
ENCENILLOS",98,141,37,16,100,exact,ok
SAN PEDRO,I.E.R. SAN JUAN,1032,I.E.R. SAN JUAN,98,1,0,1,100,exact,ok
SAN PEDRO,I.E.R. CEREZALES,1033,I.E.R. CEREZALES,98,3,0,1,100,exact,ok
SAN PEDRO,I.E.R. EL ESPINAL,1034,I.E.R. EL ESPINAL,98,2,0,1,100,exact,ok
SAN PEDRO,I.E.R. OVEJAS,1035,I.E.R. OVEJAS,98,13,5,4,100,exact,ok
SAN PEDRO,I.E.R. PANTANILLO,1036,I.E.R. PANTANILLO,98,11,9,3,100,exact,ok
SAN PEDRO DE URABA,I.E. SAN PEDRO DE URABA,1037,I.E. SAN PEDRO DE URABA,111,35,18,21,100,exact,ok
